chave,Data e horario completo,t_0,s1,s2,s3,s4,s5,s6,experimento
5028,2015-09-10 16:45:41.495704,1441914341.487366,73.3338,37.7463,62.28439999999999,37.626000000000005,59.30779999999999,41.8295,
5029,2015-09-10 16:45:51.510061,1441914351.504531,72.9413,37.3993,62.28439999999999,37.222,59.30779999999999,41.8295,
5030,2015-09-10 16:46:02.515708,1441914362.51053,72.5488,37.052299999999995,61.602599999999995,37.424,59.30779999999999,41.8295,
5031,2015-09-10 16:46:12.537615,1441914372.531911,72.1563,37.7463,61.602599999999995,37.828,58.9356,42.284400000000005,
5032,2015-09-10 16:46:23.521046,1441914383.515917,72.9413,38.0933,61.26169999999999,37.626000000000005,58.9356,41.8295,
5033,2015-09-10 16:46:33.549460,1441914393.543449,72.9413,37.7463,61.26169999999999,37.626000000000005,58.563399999999994,41.8295,
5034,2015-09-10 16:46:44.620136,1441914404.614322,71.7638,37.052299999999995,61.26169999999999,37.222,58.563399999999994,42.284400000000005,
5035,2015-09-10 16:46:54.636462,1441914414.63111,71.3713,37.052299999999995,60.579899999999995,37.626000000000005,58.563399999999994,41.8295,
5036,2015-09-10 16:47:05.565130,1441914425.559389,71.3713,37.3993,60.579899999999995,37.626000000000005,58.563399999999994,41.8295,
5037,2015-09-10 16:47:15.583179,1441914435.577133,70.9788,37.3993,60.579899999999995,37.626000000000005,58.1912,41.8295,
5038,2015-09-10 16:47:26.488333,1441914446.482306,71.7638,37.7463,60.9208,37.424,57.818999999999996,41.37460000000001,
5039,2015-09-10 16:47:36.619552,1441914456.613389,71.3713,37.3993,60.9208,37.222,57.818999999999996,40.919700000000006,
5040,2015-09-10 16:47:47.367733,1441914467.362399,70.9788,37.7463,60.23899999999999,37.222,57.818999999999996,41.37460000000001,
5041,2015-09-10 16:47:57.393817,1441914477.388478,70.9788,37.3993,60.579899999999995,36.818000000000005,57.818999999999996,40.919700000000006,
5042,2015-09-10 16:48:08.262758,1441914488.257407,70.1938,36.7053,60.579899999999995,36.818000000000005,57.818999999999996,41.37460000000001,
5043,2015-09-10 16:48:29.244945,1441914509.239418,70.1938,36.7053,60.579899999999995,36.616,57.446799999999996,40.919700000000006,
5044,2015-09-10 16:48:39.276304,1441914519.270189,69.4088,36.7053,59.89809999999999,36.818000000000005,57.0746,40.919700000000006,
5045,2015-09-10 16:48:50.269574,1441914530.264098,70.1938,36.7053,59.89809999999999,36.616,57.0746,40.919700000000006,
5046,2015-09-10 16:49:00.297903,1441914540.291909,69.4088,36.3583,59.557199999999995,36.818000000000005,56.7024,41.37460000000001,
