Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento
3549	2015-09-10 12:06:32.363808	1441897592.36	289.6013	122.0673	241.2569	168.118	276.6726	137.3585	None	
3550	2015-09-10 12:06:42.362559	1441897602.36	288.4238	125.8843	241.9387	159.634	274.0672	135.9938	None	
3551	2015-09-10 12:06:53.084879	1441897613.08	288.8163	126.2313	241.9387	160.644	275.1838	136.4487	None	
3552	2015-09-10 12:07:03.079066	1441897623.07	291.5638	125.8843	241.5978	163.674	274.8116	134.1742	None	
3553	2015-09-10 12:07:13.849292	1441897633.84	290.3863	126.9253	241.5978	160.24	275.1838	134.6291	None	
3554	2015-09-10 12:07:23.851593	1441897643.85	289.2088	123.8023	241.5978	166.704	276.6726	137.3585	None	
3555	2015-09-10 12:07:34.570756	1441897654.57	291.5638	125.8843	241.5978	161.25	274.4394	137.3585	None	
3556	2015-09-10 12:07:44.576959	1441897664.57	290.7788	123.8023	241.5978	162.26	274.8116	140.5428	None	
3557	2015-09-10 12:07:55.370027	1441897675.37	290.7788	127.2723	241.5978	161.25	274.8116	136.9036	None	
3558	2015-09-10 12:08:05.371248	1441897685.37	289.9938	124.8433	241.5978	164.28	275.556	141.9075	None	
3559	2015-09-10 12:08:16.189035	1441897696.18	291.5638	124.1493	241.5978	163.472	275.556	134.1742	None	
3560	2015-09-10 12:08:26.195546	1441897706.19	290.7788	122.0673	241.5978	164.482	275.1838	138.7232	None	
3561	2015-09-10 12:08:36.947123	1441897716.94	291.1713	123.8023	241.5978	168.522	274.4394	136.9036	None	
3562	2015-09-10 12:08:46.962355	1441897726.96	291.5638	125.8843	241.9387	163.068	275.556	133.7193	None	
3563	2015-09-10 12:08:57.700334	1441897737.69	291.1713	124.8433	241.9387	161.654	275.1838	134.6291	None	
3564	2015-09-10 12:09:07.710785	1441897747.71	289.2088	120.6793	241.9387	168.522	277.7892	135.9938	None	
3565	2015-09-10 12:09:18.486882	1441897758.48	290.3863	123.8023	241.5978	166.098	277.0448	132.8095	None	
3566	2015-09-10 12:09:28.492418	1441897768.49	289.6013	124.8433	241.5978	164.886	275.9282	137.8134	None	
3567	2015-09-10 12:09:39.186183	1441897779.18	290.3863	126.9253	241.9387	161.452	275.556	132.8095	None	
3568	2015-09-10 12:09:49.190633	1441897789.19	291.1713	127.6193	241.9387	160.442	275.556	133.2644	None	
3569	2015-09-10 12:09:59.895942	1441897799.89	289.6013	127.2723	241.9387	160.038	275.9282	134.1742	None	
3570	2015-09-10 12:10:09.901367	1441897809.9	289.2088	125.1903	241.5978	167.512	276.3004	136.4487	None	
3571	2015-09-10 12:10:20.610370	1441897820.61	291.1713	129.0073	241.9387	160.846	274.4394	135.5389	None	
3572	2015-09-10 12:10:30.621349	1441897830.62	291.1713	126.9253	241.9387	161.25	274.4394	137.3585	None	
3573	2015-09-10 12:10:41.321417	1441897841.32	291.5638	128.3133	241.9387	161.856	275.556	133.2644	None	
3574	2015-09-10 12:10:51.333487	1441897851.33	290.7788	125.8843	241.9387	161.452	274.8116	134.6291	None	
